MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
20,5,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
20,5,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
20,5,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
20,5,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
20,5,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
20,5,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
20,5,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
20,5,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
5,10,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
5,10,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
5,10,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
5,10,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
5,10,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
5,10,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
5,10,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
5,10,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
5,10,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
5,20,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
5,20,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
5,20,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
5,20,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
5,20,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
5,20,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
5,20,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
5,20,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
5,20,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
5,5,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
5,5,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
5,5,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
5,5,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
5,5,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
5,5,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
5,5,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
5,5,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
5,5,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
